project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
wijmo;wijmo/minified/jquery.wijmo.wijtabs.min.js;169;28.027;603;62.128;13.256;134.685;5355987.348;39766.863;372
famous-widgets;TabBar.js;12;15.789;76;59.052;1.037;31.35;97521.255;3110.726;91
kendo-ui;src/kendo.editable.js;89;28.165;316;62.269;6.177;70.403;1304656.629;18531.147;324
kendo-ui;src/kendo.mobile.tabstrip.js;22;20.37;108;66.379;1.555;34.699;161837.009;4663.996;155
kendo-ui;src/kendo.selectable.js;71;26.996;263;62.095;4.55;72.88;994761.931;13649.313;232
kendo-ui;src/kendo.sortable.js;102;26.563;384;57.936;5.845;90.248;1582508.232;17535.163;254
kendo-ui;src/kendo.tabstrip.js;240;23.415;1025;61.72;21.279;110.149;7031596.768;63837.34;668
lobos-react-ui;src/Table/Header.js;10;24.39;41;66.586;0.562;34.211;57636.228;1684.751;82
lobos-react-ui;src/Table/Table.js;51;30.723;166;66.034;2.851;62.778;536907.495;8552.509;198
lobos-react-ui;src/Table/Tr.js;7;21.875;32;59.755;0.359;26.293;28288.571;1075.91;63
lobos-react-ui;src/Table/index.js;1;100;1;86.737;0.056;4.5;758.498;168.555;20
jquery-ui;ui/widgets/selectable.js;39;20.419;191;56.94;2.841;61.6;525024.243;8523.121;138
jquery-ui;ui/widgets/sortable.js;339;44.664;759;56.912;21.194;147.324;9367269.908;63582.807;466
jquery-ui;ui/widgets/tabs.js;125;25;500;64.202;9.244;89.64;2485853.927;27731.408;354
jxlib;src/Source/jx/tab.js;26;26.531;98;61.207;1.26;26.284;99320.162;3778.701;117
jxlib;src/Source/jx/tabbox.js;10;11.364;88;66.67;1.333;31.429;125719.393;4000.163;104
jxlib;src/Source/jx/tabset.js;15;31.915;47;69.116;0.695;21.375;44559.135;2084.638;83
jxlib;src/Source/jx/plugin/toolbarcontainer/tabMenu.js;7;14.894;47;68.407;0.677;18.59;37750.488;2030.716;98
